MVA,Mileage
59395593,10681
53275180,70154
57985054,112736
53560183,116261
53290521,17615
99796664,93992
55949725,29306
57947385,20314
57614502,23876
54383162,59643
58270870,25697
53558525,126437
51369544,131454
51369360,111633
